Hospital Name,Provider Number,State,Measure Name,Number of Discharges,Footnote,Excess Readmission Ratio,Predicted Readmission Rate,Expected Readmission Rate,Number of Readmissions,Start Date,End Date
GOOD SAMARITAN HOSPITAL,050380,CA,READM-30-HIP-KNEE-HRRP,457,,1.2442,5.9,4.8,31,07/01/2010,06/30/2013
LEWISGALE HOSPITAL ALLEGHANY,490126,VA,READM-30-HIP-KNEE-HRRP,189,,1.2439,5.9,4.7,15,07/01/2010,06/30/2013
HARLAN ARH HOSPITAL,180050,KY,READM-30-PN-HRRP,310,,1.2438,22.7,18.2,84,07/01/2010,06/30/2013
ALTA BATES SUMMIT MEDICAL CENTER,050043,CA,READM-30-HIP-KNEE-HRRP,344,,1.2437,6.1,4.9,25,07/01/2010,06/30/2013
PETERSON REGIONAL MEDICAL CENTER,450007,TX,READM-30-HIP-KNEE-HRRP,481,,1.2435,6.5,5.2,35,07/01/2010,06/30/2013
ST JOSEPH'S REGIONAL MEDICAL CENTER,310019,NJ,READM-30-HF-HRRP,1384,,1.2432,27.5,22.1,394,07/01/2010,06/30/2013
MERCY HEALTH - WEST HOSPITAL,360234,OH,READM-30-HIP-KNEE-HRRP,230,,1.2425,6.6,5.3,19,07/01/2010,06/30/2013
OAKWOOD HOSPITAL - WAYNE,230142,MI,READM-30-PN-HRRP,311,,1.2422,24.5,19.7,90,07/01/2010,06/30/2013
OVERLOOK MEDICAL CENTER,310051,NJ,READM-30-HIP-KNEE-HRRP,572,,1.2410,6.7,5.4,42,07/01/2010,06/30/2013
INGALLS MEMORIAL HOSPITAL,140191,IL,READM-30-HIP-KNEE-HRRP,855,,1.2409,6.8,5.5,62,07/01/2010,06/30/2013
WELLINGTON REGIONAL MEDICAL CENTER,100275,FL,READM-30-HIP-KNEE-HRRP,128,,1.2406,6.4,5.1,12,07/01/2010,06/30/2013
CAMBRIDGE MEDICAL CENTER,240020,MN,READM-30-HIP-KNEE-HRRP,Not Available,,1.2396,6.1,4.9,,07/01/2010,06/30/2013
"MOUNTAIN VISTA MEDICAL CENTER, LP",030121,AZ,READM-30-HIP-KNEE-HRRP,282,,1.2385,5.7,4.6,20,07/01/2010,06/30/2013
FLAGET MEMORIAL HOSPITAL (MEMBER OF SAINT JOSEPH H,180025,KY,READM-30-HIP-KNEE-HRRP,222,,1.2384,6.4,5.1,18,07/01/2010,06/30/2013
FRANCISCAN ST ELIZABETH HEALTH - CRAWFORDSVILLE,150022,IN,READM-30-HIP-KNEE-HRRP,Not Available,,1.2380,6.6,5.3,,07/01/2010,06/30/2013
CAROLINAS HOSPITAL SYSTEM,420091,SC,READM-30-AMI-HRRP,263,,1.2380,21.7,17.5,69,07/01/2010,06/30/2013
ST LUCIE MEDICAL CENTER,100260,FL,READM-30-HIP-KNEE-HRRP,916,,1.2379,6.4,5.1,62,07/01/2010,06/30/2013
BOLIVAR MEDICAL CENTER,250093,MS,READM-30-HF-HRRP,249,,1.2377,26.6,21.5,79,07/01/2010,06/30/2013
UNIVERSITY OF ALABAMA HOSPITAL,010033,AL,READM-30-PN-HRRP,505,,1.2371,20.8,16.8,118,07/01/2010,06/30/2013
TUG VALLEY ARH REGIONAL MEDICAL CENTER,180069,KY,READM-30-COPD-HRRP,542,,1.2364,23.5,19.0,143,07/01/2010,06/30/2013
BROOKHAVEN MEMORIAL HOSPITAL MEDICAL CENTER,330141,NY,READM-30-HIP-KNEE-HRRP,Not Available,,1.2364,7.7,6.2,,07/01/2010,06/30/2013
DELAWARE COUNTY MEMORIAL HOSPITAL,390081,PA,READM-30-HIP-KNEE-HRRP,188,,1.2362,7.0,5.7,17,07/01/2010,06/30/2013
LEWISGALE MEDICAL CENTER,490048,VA,READM-30-AMI-HRRP,462,,1.2358,20.0,16.2,104,07/01/2010,06/30/2013
LEA REGIONAL MEDICAL CENTER,320065,NM,READM-30-HIP-KNEE-HRRP,Not Available,,1.2358,6.6,5.3,,07/01/2010,06/30/2013
ST JOHNS REGIONAL MEDICAL CENTER,050082,CA,READM-30-HIP-KNEE-HRRP,202,,1.2349,6.5,5.3,17,07/01/2010,06/30/2013
SAINT JOSEPH REGIONAL MEDICAL CENTER - PLYMOUTH,150076,IN,READM-30-HIP-KNEE-HRRP,99,,1.2348,7.2,5.8,11,07/01/2010,06/30/2013
CARSON CITY HOSPITAL,230208,MI,READM-30-HIP-KNEE-HRRP,Not Available,,1.2345,6.5,5.3,,07/01/2010,06/30/2013
EMORY JOHNS CREEK HOSPITAL,110230,GA,READM-30-HIP-KNEE-HRRP,Not Available,,1.2340,5.2,4.2,,07/01/2010,06/30/2013
D C H REGIONAL MEDICAL CENTER,010092,AL,READM-30-AMI-HRRP,446,,1.2338,19.2,15.6,97,07/01/2010,06/30/2013
CLEVELAND CLINIC,360180,OH,READM-30-PN-HRRP,337,,1.2334,24.2,19.6,95,07/01/2010,06/30/2013
DANVILLE REGIONAL MEDICAL CENTER,490075,VA,READM-30-HF-HRRP,555,,1.2332,27.3,22.1,164,07/01/2010,06/30/2013
UNIVERSITY HOSPITAL AND MEDICAL CENTER,100224,FL,READM-30-HIP-KNEE-HRRP,125,,1.2331,8.9,7.2,15,07/01/2010,06/30/2013
UNIVERSITY OF ALABAMA HOSPITAL,010033,AL,READM-30-HIP-KNEE-HRRP,254,,1.2331,6.8,5.5,21,07/01/2010,06/30/2013
SHARP CHULA VISTA MEDICAL CENTER,050222,CA,READM-30-HIP-KNEE-HRRP,172,,1.2331,7.6,6.2,17,07/01/2010,06/30/2013
KENDALL REGIONAL MEDICAL CENTER,100209,FL,READM-30-HIP-KNEE-HRRP,154,,1.2328,7.9,6.4,16,07/01/2010,06/30/2013
PALM BEACH GARDENS MEDICAL CENTER,100176,FL,READM-30-HIP-KNEE-HRRP,278,,1.2322,8.0,6.5,26,07/01/2010,06/30/2013
WALKER BAPTIST MEDICAL CENTER,010089,AL,READM-30-HIP-KNEE-HRRP,255,,1.2321,6.8,5.5,21,07/01/2010,06/30/2013
SHELBY BAPTIST MEDICAL CENTER,010016,AL,READM-30-HIP-KNEE-HRRP,193,,1.2319,6.4,5.2,16,07/01/2010,06/30/2013
NORWOOD HOSPITAL,220126,MA,READM-30-HIP-KNEE-HRRP,211,,1.2317,7.2,5.8,19,07/01/2010,06/30/2013
GLENDALE MEM HOSPITAL & HLTH CENTER,050058,CA,READM-30-HIP-KNEE-HRRP,178,,1.2316,7.4,6.0,17,07/01/2010,06/30/2013
GREAT RIVER MEDICAL CENTER,160057,IA,READM-30-HIP-KNEE-HRRP,438,,1.2315,6.5,5.2,32,07/01/2010,06/30/2013
ADVENTIST HEALTHCARE SHADY GROVE MEDICAL CENTER,210057,MD,READM-30-HIP-KNEE-HRRP,574,,1.2311,6.0,4.9,38,07/01/2010,06/30/2013
GUADALUPE REGIONAL MEDICAL CENTER,450104,TX,READM-30-HIP-KNEE-HRRP,266,,1.2305,6.1,5.0,20,07/01/2010,06/30/2013
BOSTON MEDICAL CENTER CORPORATION,220031,MA,READM-30-HIP-KNEE-HRRP,Not Available,,1.2303,6.7,5.4,,07/01/2010,06/30/2013
LEWISGALE HOSPITAL MONTGOMERY,490110,VA,READM-30-HIP-KNEE-HRRP,284,,1.2302,6.1,5.0,21,07/01/2010,06/30/2013
MARSHALL MEDICAL CENTER SOUTH,010005,AL,READM-30-HIP-KNEE-HRRP,198,,1.2298,7.2,5.8,18,07/01/2010,06/30/2013
MERCY HOSPITAL JOPLIN,260001,MO,READM-30-HIP-KNEE-HRRP,179,,1.2294,7.4,6.0,17,07/01/2010,06/30/2013
SHANNON MEDICAL CENTER,450571,TX,READM-30-HIP-KNEE-HRRP,421,,1.2291,6.0,4.9,29,07/01/2010,06/30/2013
SENTARA NORTHERN VIRGINIA MEDICAL CENTER,490113,VA,READM-30-HIP-KNEE-HRRP,121,,1.2286,6.0,4.9,11,07/01/2010,06/30/2013
ORLANDO REGIONAL MEDICAL CENTER,100006,FL,READM-30-HIP-KNEE-HRRP,902,,1.2281,7.2,5.9,69,07/01/2010,06/30/2013
CJW MEDICAL CENTER,490112,VA,READM-30-HIP-KNEE-HRRP,1155,,1.2280,6.0,4.9,73,07/01/2010,06/30/2013
MOUNTAIN VIEW REGIONAL MEDICAL CENTER,320085,NM,READM-30-HIP-KNEE-HRRP,263,,1.2278,6.2,5.1,20,07/01/2010,06/30/2013
FORT WASHINGTON HOSPITAL,210060,MD,READM-30-COPD-HRRP,148,,1.2275,23.4,19.1,50,07/01/2010,06/30/2013
HILLSDALE COMMUNITY HEALTH CENTER,230037,MI,READM-30-HIP-KNEE-HRRP,138,,1.2274,6.7,5.5,13,07/01/2010,06/30/2013
HOLY CROSS HOSPITAL,140133,IL,READM-30-PN-HRRP,193,,1.2271,22.8,18.6,57,07/01/2010,06/30/2013
BETH ISRAEL MEDICAL CENTER,330169,NY,READM-30-COPD-HRRP,961,,1.2269,25.5,20.8,261,07/01/2010,06/30/2013
ST LUKE'S HOSPITAL,360090,OH,READM-30-HIP-KNEE-HRRP,303,,1.2268,7.0,5.7,25,07/01/2010,06/30/2013
MOBERLY REGIONAL MEDICAL CENTER,260074,MO,READM-30-HIP-KNEE-HRRP,95,,1.2260,7.7,6.3,11,07/01/2010,06/30/2013
REID HOSPITAL & HEALTH CARE SERVICES,150048,IN,READM-30-HIP-KNEE-HRRP,467,,1.2256,6.7,5.5,35,07/01/2010,06/30/2013
GLENWOOD REGIONAL MEDICAL CENTER,190160,LA,READM-30-HF-HRRP,691,,1.2254,27.7,22.6,204,07/01/2010,06/30/2013
MERCY HOSPITAL ANDERSON,360001,OH,READM-30-HIP-KNEE-HRRP,388,,1.2247,6.5,5.3,29,07/01/2010,06/30/2013
DOCTORS HOSPITAL OF LAREDO,450643,TX,READM-30-HIP-KNEE-HRRP,Not Available,,1.2245,6.0,4.9,,07/01/2010,06/30/2013
LEHIGH VALLEY HOSPITAL - HAZLETON,390185,PA,READM-30-PN-HRRP,600,,1.2244,23.8,19.5,156,07/01/2010,06/30/2013
CAPITAL HEALTH SYSTEM-FULD CAMPUS,310092,NJ,READM-30-HF-HRRP,249,,1.2242,28.3,23.2,83,07/01/2010,06/30/2013
REDMOND REGIONAL MEDICAL CENTER,110168,GA,READM-30-HIP-KNEE-HRRP,454,,1.2228,6.3,5.1,32,07/01/2010,06/30/2013
GOOD SAMARITAN HOSPITAL,360052,OH,READM-30-COPD-HRRP,714,,1.2227,25.8,21.1,200,07/01/2010,06/30/2013
MERCY REGIONAL MEDICAL CENTER,190167,LA,READM-30-HF-HRRP,267,,1.2224,27.3,22.3,85,07/01/2010,06/30/2013
EAST COOPER MEDICAL CENTER,420089,SC,READM-30-HIP-KNEE-HRRP,116,,1.2221,6.4,5.2,11,07/01/2010,06/30/2013
PEKIN MEMORIAL HOSPITAL,140120,IL,READM-30-PN-HRRP,367,,1.2217,19.4,15.8,83,07/01/2010,06/30/2013
BRONX-LEBANON HOSPITAL CENTER,330009,NY,READM-30-PN-HRRP,117,,1.2217,21.0,17.2,37,07/01/2010,06/30/2013
SPALDING REGIONAL HOSPITAL,110031,GA,READM-30-HIP-KNEE-HRRP,131,,1.2215,6.4,5.2,12,07/01/2010,06/30/2013
FLOYD MEMORIAL HOSPITAL AND HEALTH SERVICES,150044,IN,READM-30-HIP-KNEE-HRRP,314,,1.2213,7.1,5.8,26,07/01/2010,06/30/2013
ST MARYS JANESVILLE HOSPITAL,520208,WI,READM-30-HIP-KNEE-HRRP,Not Available,,1.2211,5.8,4.7,,07/01/2010,06/30/2013
HAZARD ARH REGIONAL MEDICAL CENTER,180029,KY,READM-30-AMI-HRRP,156,,1.2208,21.7,17.8,45,07/01/2010,06/30/2013
"CLINTON COUNTY HOSPITAL, INC",180106,KY,READM-30-COPD-HRRP,114,,1.2202,21.6,17.7,39,07/01/2010,06/30/2013
"STAFFORD HOSPITAL, LLC",490140,VA,READM-30-HIP-KNEE-HRRP,Not Available,,1.2198,5.5,4.5,,07/01/2010,06/30/2013
SENTARA VIRGINIA BEACH GENERAL HOSPITAL,490057,VA,READM-30-HIP-KNEE-HRRP,391,,1.2198,6.2,5.1,28,07/01/2010,06/30/2013
ATHENS REGIONAL MEDICAL CENTER,110074,GA,READM-30-HIP-KNEE-HRRP,160,,1.2193,6.5,5.3,14,07/01/2010,06/30/2013
EAST ORANGE GENERAL HOSPITAL,310083,NJ,READM-30-PN-HRRP,162,,1.2192,27.0,22.1,57,07/01/2010,06/30/2013
WYCKOFF HEIGHTS MEDICAL CENTER,330221,NY,READM-30-COPD-HRRP,391,,1.2191,25.8,21.1,116,07/01/2010,06/30/2013
ST JOSEPH MEDICAL CENTER,500108,WA,READM-30-HIP-KNEE-HRRP,425,,1.2187,6.2,5.1,30,07/01/2010,06/30/2013
MARY IMOGENE BASSETT HOSPITAL,330136,NY,READM-30-HIP-KNEE-HRRP,352,,1.2184,6.4,5.2,26,07/01/2010,06/30/2013
METHODIST RICHARDSON MEDICAL CENTER,450537,TX,READM-30-HIP-KNEE-HRRP,162,,1.2184,6.5,5.3,14,07/01/2010,06/30/2013
AULTMAN HOSPITAL,360084,OH,READM-30-HIP-KNEE-HRRP,502,,1.2179,6.7,5.5,37,07/01/2010,06/30/2013
HOLYOKE MEDICAL CENTER,220024,MA,READM-30-HIP-KNEE-HRRP,Not Available,,1.2179,7.2,5.9,,07/01/2010,06/30/2013
QUINCY MEDICAL CENTER,220067,MA,READM-30-HIP-KNEE-HRRP,175,,1.2177,6.5,5.4,15,07/01/2010,06/30/2013
UNIVERSITY OF MISSISSIPPI MED CENTER,250001,MS,READM-30-HIP-KNEE-HRRP,228,,1.2173,5.9,4.9,17,07/01/2010,06/30/2013
MACNEAL  HOSPITAL,140054,IL,READM-30-HIP-KNEE-HRRP,199,,1.2172,6.8,5.6,17,07/01/2010,06/30/2013
DOCTORS HOSPITAL,450678,TX,READM-30-HIP-KNEE-HRRP,184,,1.2168,6.8,5.6,16,07/01/2010,06/30/2013
SOUTHERN VIRGINIA REGIONAL MEDICAL CENTER,490097,VA,READM-30-PN-HRRP,233,,1.2167,19.4,15.9,57,07/01/2010,06/30/2013
BAPTIST HEALTH MEDICAL CENTER NORTH LITTLE ROCK,040036,AR,READM-30-HF-HRRP,589,,1.2166,26.9,22.1,170,07/01/2010,06/30/2013
FRANCISCAN ST JAMES HEALTH,140172,IL,READM-30-HIP-KNEE-HRRP,261,,1.2165,6.7,5.5,21,07/01/2010,06/30/2013
BETH ISRAEL MEDICAL CENTER,330169,NY,READM-30-PN-HRRP,1279,,1.2159,20.2,16.6,270,07/01/2010,06/30/2013
SOUTHERN OHIO MEDICAL CENTER,360008,OH,READM-30-HIP-KNEE-HRRP,250,,1.2157,7.4,6.1,22,07/01/2010,06/30/2013
SIMI VALLEY HOSPITAL & HEALTH CARE SERVICES,050236,CA,READM-30-HIP-KNEE-HRRP,Not Available,,1.2152,7.0,5.8,,07/01/2010,06/30/2013
MEDICAL CENTER OF SOUTHEASTERN OKLAHOMA,370014,OK,READM-30-HF-HRRP,472,,1.2149,29.0,23.9,149,07/01/2010,06/30/2013
SCHUYLKILL MEDICAL CENTER - SOUTH JACKSON STREET,390030,PA,READM-30-HF-HRRP,338,,1.2148,26.1,21.5,100,07/01/2010,06/30/2013
UNITY HOSPITAL,240132,MN,READM-30-HIP-KNEE-HRRP,199,,1.2147,5.8,4.8,15,07/01/2010,06/30/2013
"SAINT MICHAEL'S MEDICAL CENTER, INC",310096,NJ,READM-30-AMI-HRRP,171,,1.2146,24.4,20.1,53,07/01/2010,06/30/2013
WEST VIRGINIA UNIVERSITY HOSPITALS,510001,WV,READM-30-HF-HRRP,436,,1.2142,29.8,24.5,142,07/01/2010,06/30/2013
POTTSTOWN MEMORIAL MEDICAL CENTER,390123,PA,READM-30-PN-HRRP,399,,1.2139,20.4,16.8,93,07/01/2010,06/30/2013
EMANUEL MEDICAL CENTER,050179,CA,READM-30-PN-HRRP,398,,1.2138,19.9,16.4,91,07/01/2010,06/30/2013
VIDANT MEDICAL CENTER,340040,NC,READM-30-HIP-KNEE-HRRP,905,,1.2137,5.7,4.7,55,07/01/2010,06/30/2013
BON SECOURS DEPAUL MEDICAL CENTER,490011,VA,READM-30-HIP-KNEE-HRRP,Not Available,,1.2132,6.7,5.5,,07/01/2010,06/30/2013
ST LUKE'S ROOSEVELT HOSPITAL,330046,NY,READM-30-HF-HRRP,619,,1.2128,26.2,21.6,174,07/01/2010,06/30/2013
INGALLS MEMORIAL HOSPITAL,140191,IL,READM-30-AMI-HRRP,352,,1.2126,22.8,18.8,91,07/01/2010,06/30/2013
ST MARYS HOSPITAL,140034,IL,READM-30-HF-HRRP,464,,1.2126,27.9,23.0,141,07/01/2010,06/30/2013
RUSSELL COUNTY MEDICAL CENTER,490002,VA,READM-30-PN-HRRP,263,,1.2123,23.5,19.4,74,07/01/2010,06/30/2013
ATRIUM MEDICAL CENTER,360076,OH,READM-30-HIP-KNEE-HRRP,193,,1.2120,7.5,6.2,18,07/01/2010,06/30/2013
IU HEALTH WEST HOSPITAL,150158,IN,READM-30-HIP-KNEE-HRRP,135,,1.2109,6.4,5.2,12,07/01/2010,06/30/2013
NASSAU UNIVERSITY MEDICAL CENTER,330027,NY,READM-30-HF-HRRP,237,,1.2106,27.9,23.1,78,07/01/2010,06/30/2013
GORDON HOSPITAL,110023,GA,READM-30-HIP-KNEE-HRRP,Not Available,,1.2106,5.9,4.9,,07/01/2010,06/30/2013
CROSSGATES RIVER OAKS HOSPITAL,250096,MS,READM-30-HIP-KNEE-HRRP,Not Available,,1.2104,5.9,4.9,,07/01/2010,06/30/2013
ST VINCENT'S MEDICAL CENTER,070028,CT,READM-30-AMI-HRRP,436,,1.2104,21.4,17.7,104,07/01/2010,06/30/2013
CHRISTUS ST FRANCES CABRINI HOSPITAL,190019,LA,READM-30-HIP-KNEE-HRRP,183,,1.2104,6.9,5.7,16,07/01/2010,06/30/2013
MIAMI VALLEY HOSPITAL,360051,OH,READM-30-HIP-KNEE-HRRP,346,,1.2095,6.5,5.4,26,07/01/2010,06/30/2013
FLORIDA HOSPITAL,100007,FL,READM-30-AMI-HRRP,1056,,1.2094,21.7,18.0,240,07/01/2010,06/30/2013
WHITESBURG ARH HOSPITAL,180002,KY,READM-30-COPD-HRRP,428,,1.2093,27.3,22.6,132,07/01/2010,06/30/2013
VIDANT ROANOKE CHOWAN HOSPITAL,340099,NC,READM-30-PN-HRRP,187,,1.2092,19.1,15.8,47,07/01/2010,06/30/2013
NYACK HOSPITAL,330104,NY,READM-30-PN-HRRP,530,,1.2092,21.2,17.5,124,07/01/2010,06/30/2013
BLUEFIELD REGIONAL MEDICAL CENTER,510071,WV,READM-30-HIP-KNEE-HRRP,137,,1.2090,6.3,5.2,12,07/01/2010,06/30/2013
AHMC ANAHEIM REGIONAL MEDICAL CENTER,050226,CA,READM-30-HIP-KNEE-HRRP,92,,1.2090,8.1,6.7,11,07/01/2010,06/30/2013
DOCTORS HOSPITAL,110177,GA,READM-30-HF-HRRP,249,,1.2088,29.0,24.0,84,07/01/2010,06/30/2013
METHODIST HOSPITALS INC,150002,IN,READM-30-HF-HRRP,1026,,1.2087,29.2,24.1,311,07/01/2010,06/30/2013
NORTHWEST HOSPITAL CENTER,210040,MD,READM-30-PN-HRRP,628,,1.2087,21.4,17.7,146,07/01/2010,06/30/2013
ST JOSEPH'S HOSPITAL,390132,PA,READM-30-COPD-HRRP,111,,1.2083,27.8,23.0,46,07/01/2010,06/30/2013
PRESENCE UNITED SAMARITANS MEDICAL CENTER,140093,IL,READM-30-HF-HRRP,466,,1.2079,27.2,22.5,138,07/01/2010,06/30/2013
RAULERSON HOSPITAL,100252,FL,READM-30-HIP-KNEE-HRRP,Not Available,,1.2075,8.0,6.7,,07/01/2010,06/30/2013
WINTER HAVEN HOSPITAL,100052,FL,READM-30-HIP-KNEE-HRRP,166,,1.2073,7.0,5.8,15,07/01/2010,06/30/2013
ST JOSEPH MEDICAL CENTER,260085,MO,READM-30-HIP-KNEE-HRRP,272,,1.2068,6.5,5.4,21,07/01/2010,06/30/2013
ROBINSON MEMORIAL HOSPITAL,360078,OH,READM-30-HIP-KNEE-HRRP,114,,1.2067,6.7,5.5,11,07/01/2010,06/30/2013
ST VINCENT ANDERSON REGIONAL HOSPITAL INC,150088,IN,READM-30-HIP-KNEE-HRRP,340,,1.2065,6.7,5.5,26,07/01/2010,06/30/2013
INTEGRIS MAYES COUNTY MEDICAL CENTER,370015,OK,READM-30-HIP-KNEE-HRRP,Not Available,,1.2065,4.9,4.1,,07/01/2010,06/30/2013
WYCKOFF HEIGHTS MEDICAL CENTER,330221,NY,READM-30-PN-HRRP,195,,1.2064,22.2,18.4,55,07/01/2010,06/30/2013
EASTAR HEALTH SYSTEM,370025,OK,READM-30-HIP-KNEE-HRRP,178,,1.2058,6.5,5.4,15,07/01/2010,06/30/2013
HIGHLANDS REGIONAL MEDICAL CENTER,100049,FL,READM-30-PN-HRRP,241,,1.2058,22.1,18.3,65,07/01/2010,06/30/2013
ST ANTHONY'S MEDICAL CENTER,260077,MO,READM-30-PN-HRRP,1107,,1.2053,21.5,17.9,250,07/01/2010,06/30/2013
NORTHWEST MISSISSIPPI REGIONAL MEDICAL CENTER,250042,MS,READM-30-HF-HRRP,330,,1.2052,27.8,23.0,103,07/01/2010,06/30/2013
STATEN ISLAND UNIVERSITY HOSPITAL,330160,NY,READM-30-COPD-HRRP,868,,1.2049,25.7,21.4,238,07/01/2010,06/30/2013
JOHN D ARCHBOLD MEMORIAL HOSPITAL,110038,GA,READM-30-HIP-KNEE-HRRP,304,,1.2046,6.1,5.1,22,07/01/2010,06/30/2013
MINERAL AREA REGIONAL MEDICAL CENTER,260116,MO,READM-30-HIP-KNEE-HRRP,Not Available,,1.2045,7.4,6.1,,07/01/2010,06/30/2013
SENTARA RMH MEDICAL CENTER,490004,VA,READM-30-HIP-KNEE-HRRP,265,,1.2037,6.7,5.5,21,07/01/2010,06/30/2013
BEVERLY HOSPITAL CORPORATION,220033,MA,READM-30-HIP-KNEE-HRRP,499,,1.2034,6.0,4.9,33,07/01/2010,06/30/2013
SCENIC MOUNTAIN MEDICAL CENTER,450653,TX,READM-30-HF-HRRP,149,,1.2032,26.8,22.3,51,07/01/2010,06/30/2013
MONROE COUNTY MEDICAL CENTER,180105,KY,READM-30-PN-HRRP,194,,1.2032,19.5,16.2,49,07/01/2010,06/30/2013
LAUREL REGIONAL MEDICAL CENTER,210055,MD,READM-30-HIP-KNEE-HRRP,Not Available,,1.2030,6.0,5.0,,07/01/2010,06/30/2013
ADVOCATE ILLINOIS MASONIC MEDICAL CENTER,140182,IL,READM-30-COPD-HRRP,225,,1.2028,26.8,22.3,75,07/01/2010,06/30/2013
OWATONNA HOSPITAL,240069,MN,READM-30-HIP-KNEE-HRRP,Not Available,,1.2028,6.2,5.1,,07/01/2010,06/30/2013
MERCY HOSPITAL ST LOUIS,260020,MO,READM-30-HIP-KNEE-HRRP,774,,1.2027,6.0,5.0,50,07/01/2010,06/30/2013
FRANKLIN MEDICAL CENTER,190140,LA,READM-30-PN-HRRP,282,,1.2013,19.2,16.0,65,07/01/2010,06/30/2013
COLUMBIA MEMORIAL HOSPITAL,330094,NY,READM-30-PN-HRRP,302,,1.2011,20.8,17.3,74,07/01/2010,06/30/2013
MILFORD REGIONAL MEDICAL CENTER,220090,MA,READM-30-COPD-HRRP,474,,1.2011,24.1,20.0,128,07/01/2010,06/30/2013
ADVOCATE TRINITY HOSPITAL,140048,IL,READM-30-HIP-KNEE-HRRP,Not Available,,1.2009,5.4,4.5,,07/01/2010,06/30/2013
SUMNER REGIONAL MEDICAL CENTER,440003,TN,READM-30-PN-HRRP,349,,1.2007,21.4,17.8,86,07/01/2010,06/30/2013
RIVERVIEW REGIONAL MEDICAL CENTER,010046,AL,READM-30-HIP-KNEE-HRRP,211,,1.2005,6.5,5.4,17,07/01/2010,06/30/2013
CENTRAL PENINSULA GENERAL HOSPITAL,020024,AK,READM-30-HIP-KNEE-HRRP,Not Available,,1.2005,6.3,5.3,,07/01/2010,06/30/2013
NEW YORK METHODIST HOSPITAL,330236,NY,READM-30-PN-HRRP,600,,1.2003,21.4,17.9,140,07/01/2010,06/30/2013
ST LUKE'S PATIENTS MEDICAL CENTER,670031,TX,READM-30-HIP-KNEE-HRRP,134,,1.2002,6.5,5.4,12,07/01/2010,06/30/2013
MARIA PARHAM MEDICAL CENTER,340132,NC,READM-30-HIP-KNEE-HRRP,Not Available,,1.1998,6.7,5.5,,07/01/2010,06/30/2013
UNIVERSITY OF MIAMI HOSPITAL,100009,FL,READM-30-PN-HRRP,282,,1.1997,27.9,23.2,91,07/01/2010,06/30/2013
BAKERSFIELD HEART HOSPITAL,050724,CA,READM-30-HIP-KNEE-HRRP,Not Available,,1.1994,6.1,5.1,,07/01/2010,06/30/2013
BARNES-JEWISH ST PETERS HOSPITAL,260191,MO,READM-30-HIP-KNEE-HRRP,225,,1.1993,6.1,5.1,17,07/01/2010,06/30/2013
NORTHWEST HOSPITAL CENTER,210040,MD,READM-30-HF-HRRP,797,,1.1990,27.2,22.7,228,07/01/2010,06/30/2013
NORTHWEST TEXAS HOSPITAL,450209,TX,READM-30-HIP-KNEE-HRRP,146,,1.1990,6.7,5.5,13,07/01/2010,06/30/2013
KENTUCKY RIVER MEDICAL CENTER,180139,KY,READM-30-COPD-HRRP,462,,1.1989,25.5,21.3,132,07/01/2010,06/30/2013
SANTA MONICA - UCLA MED CTR & ORTHOPAEDIC HOSPITAL,050112,CA,READM-30-PN-HRRP,416,,1.1987,21.3,17.8,100,07/01/2010,06/30/2013
VALLEY HOSPITAL,500119,WA,READM-30-HIP-KNEE-HRRP,380,,1.1987,5.2,4.3,23,07/01/2010,06/30/2013
HOWARD UNIVERSITY HOSPITAL,090003,DC,READM-30-HF-HRRP,202,,1.1985,26.8,22.3,65,07/01/2010,06/30/2013
OSCEOLA REGIONAL MEDICAL CENTER,100110,FL,READM-30-HIP-KNEE-HRRP,253,,1.1984,6.6,5.5,20,07/01/2010,06/30/2013
UNIVERSITY OF KENTUCKY HOSPITAL,180067,KY,READM-30-AMI-HRRP,240,,1.1983,21.2,17.7,61,07/01/2010,06/30/2013
RALEIGH GENERAL HOSPITAL,510070,WV,READM-30-PN-HRRP,444,,1.1981,23.3,19.4,115,07/01/2010,06/30/2013
WEST VIRGINIA UNIVERSITY HOSPITALS,510001,WV,READM-30-PN-HRRP,402,,1.1980,24.7,20.6,111,07/01/2010,06/30/2013
WILLIAM W BACKUS HOSPITAL,070024,CT,READM-30-HIP-KNEE-HRRP,262,,1.1977,7.1,6.0,22,07/01/2010,06/30/2013
PINEVILLE COMMUNITY HOSPITAL,180021,KY,READM-30-PN-HRRP,233,,1.1969,23.4,19.6,66,07/01/2010,06/30/2013
LICKING MEMORIAL HOSPITAL,360218,OH,READM-30-COPD-HRRP,333,,1.1968,23.6,19.7,92,07/01/2010,06/30/2013
NORTHERN WESTCHESTER HOSPITAL,330162,NY,READM-30-PN-HRRP,365,,1.1962,19.0,15.9,80,07/01/2010,06/30/2013
UNIVERSITY OF TOLEDO MEDICAL CENTER,360048,OH,READM-30-HIP-KNEE-HRRP,118,,1.1954,8.2,6.8,13,07/01/2010,06/30/2013
HOLY NAME MEDICAL CENTER,310008,NJ,READM-30-HIP-KNEE-HRRP,367,,1.1948,7.0,5.9,29,07/01/2010,06/30/2013
DETROIT RECEIVING HOSPITAL & UNIV HEALTH CENTER,230273,MI,READM-30-HF-HRRP,380,,1.1946,31.7,26.5,132,07/01/2010,06/30/2013
MARSHALLTOWN MEDICAL & SURGICAL CENTER,160001,IA,READM-30-HIP-KNEE-HRRP,Not Available,,1.1945,6.2,5.2,,07/01/2010,06/30/2013
